
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	362.59336469954405	4	40	10	left	left	1	34	14.925	2278
1	2	727.1078750063022	4	40	10	left	left	1	12	16.107	745
1	3	369.55438465058603	4	40	10	right	right	1	11	16.345	673
1	4	420.554323531517	4	40	10	right	right	1	11	14.946	736
1	5	406.81992828572845	4	40	10	left	left	1	9	15.679	574
1	6	652.5962502033008	4	40	10	left	left	1	9	15.845	568
1	7	1187.53833660361	4	40	10	right	right	1	9	15.126	595
1	8	245.60687230513147	4	40	10	right	right	1	11	16.272	676
1	9	2405.5893102393106	4	40	10	left	left	1	9	14.975	601
1	10	221.4816625804532	4	40	10	right	right	1	11	15.692	701
1	11	824.2516360624878	4	40	10	right	left	0	7	15.73	445
1	12	738.5392623574593	4	40	10	left	left	1	9	16.216	555
1	13	1690.376244158893	4	40	10	left	left	1	8	15.066	531
1	14	674.8003194304251	4	40	10	left	left	1	8	16.327	490
1	15	481.4806205227512	4	40	10	left	left	1	8	16.129	496
1	16	1254.5905289731318	4	40	10	left	left	1	7	15.556	450
1	17	1116.3924377676394	4	40	10	left	left	1	6	15.345	391
1	18	558.9325043707788	4	40	10	right	left	0	7	16.949	413
1	19	837.7906901712614	4	40	10	right	right	1	30	15.228	1970
1	20	209.0802768267206	4	40	10	right	right	1	12	15.957	752
1	21	411.07528685574965	4	40	10	left	left	1	9	16.544	544
1	22	626.7086190606469	4	40	10	right	right	1	8	15.414	519
1	23	2671.787094756303	4	40	10	left	right	0	9	15.152	594
1	24	570.370195602206	4	40	10	right	right	1	14	15.487	904
1	25	210.79896238890998	4	40	10	right	right	1	11	15.692	701
1	26	251.16160877200196	4	40	10	right	right	1	10	15.175	659
1	27	569.1004338368862	4	40	10	left	right	0	8	16.36	489
1	28	555.2179795765064	4	40	10	left	left	1	12	15.038	798
1	29	635.2639018853597	4	40	10	left	left	1	8	16.097	497
1	30	557.9523423191756	4	40	10	right	left	0	8	17.094	468
1	31	536.4339014775437	4	40	10	left	left	1	10	15.528	644
1	32	476.4573151495541	4	40	10	left	right	0	15	14.851	1010
1	33	618.8953848285935	4	40	10	right	right	1	30	15.106	1986
1	34	822.8385092909276	4	40	10	right	right	1	23	15.232	1510
1	35	1659.5537122274627	4	40	10	left	left	1	11	15.131	727
