
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	2028.5208561656978	4	40	10	left	left	1	85	15.179	5600
1	2	883.5020515810178	4	40	10	left	left	1	110	15.166	7253
1	3	1969.6713125441458	4	40	10	left	left	1	86	15.184	5664
1	4	682.9778240197966	4	40	10	left	left	1	91	15.286	5953
1	5	322.80030466999494	4	40	10	right	right	1	221	15.154	14584
1	6	280.3092002190295	4	40	10	left	left	1	117	15.191	7702
1	7	1012.587605618285	4	40	10	left	left	1	138	15.17	9097
1	8	613.6491444067007	4	40	10	right	left	0	91	15.089	6031
1	9	416.1237772086442	4	40	10	right	left	0	136	15.226	8932
1	10	398.06372273738305	4	40	10	right	right	1	214	15.192	14086
1	11	578.365153185114	4	40	10	left	left	1	131	15.169	8636
1	12	744.0272468327704	4	40	10	right	left	0	207	15.173	13643
1	13	363.56460121097587	4	40	10	left	left	1	201	15.256	13175
1	14	2276.040172083067	4	40	10	right	left	0	88	15.307	5749
1	15	545.5027282677629	4	40	10	right	right	1	153	15.156	10095
1	16	3162.336399358835	4	40	10	left	left	1	117	15.24	7677
1	17	1157.3593325650936	4	40	10	left	right	0	133	15.153	8777
1	18	344.17164325415956	4	40	10	right	left	0	158	15.172	10414
1	19	283.5315573145211	4	40	10	left	left	1	222	15.197	14608
1	20	1126.931644481544	4	40	10	right	right	1	136	15.16	8971
1	21	524.3026284025148	4	40	10	left	right	0	174	15.185	11459
1	22	291.72920264221017	4	40	10	left	right	0	170	15.134	11233
1	23	411.01289449115455	4	40	10	right	right	1	601	15.155	39656
1	24	1123.6524656837496	4	40	10	right	right	1	104	15.285	6804
1	25	1226.6746540113281	4	40	10	right	right	1	182	15.155	12009
1	26	607.6885363368662	4	40	10	right	right	1	96	15.219	6308
1	27	272.01031476712757	4	40	10	left	right	0	198	15.224	13006
1	28	1075.9292618962181	4	40	10	left	right	0	89	15.162	5870
1	29	439.8502807917729	4	40	10	right	left	0	117	15.179	7708
1	30	306.1583695236378	4	40	10	left	left	1	237	15.188	15604
1	31	852.6837619023677	4	40	10	left	left	1	146	15.141	9643
1	32	339.3096894433668	4	40	10	left	left	1	68	15.23	4465
1	33	385.4367736490708	4	40	10	right	left	0	63	15.206	4143
1	34	1579.3766210141785	4	40	10	right	left	0	145	15.231	9520
1	35	606.479823711751	4	40	10	right	right	1	149	15.195	9806
1	36	480.78746085947114	4	40	10	left	right	0	73	15.336	4760
1	37	1280.646317334921	4	40	10	right	left	0	61	15.365	3970
1	38	778.5517025898258	4	40	10	right	left	0	121	15.157	7983
1	39	2991.9561226357173	4	40	10	left	right	0	185	15.161	12202
1	40	336.367242610631	4	40	10	right	right	1	235	15.202	15459
2	1	2203.8475177273376	4	40	10	left	left	1	97	15.249	6361
2	2	1294.4197205998528	4	40	10	left	left	1	95	15.19	6254
2	3	1543.2947480964433	4	40	10	left	left	1	68	15.168	4483
2	4	563.1972495266605	4	40	10	left	right	0	163	15.16	10752
2	5	406.98769465051816	4	40	10	right	left	0	103	15.271	6745
2	6	461.93709847559603	4	40	10	left	left	1	190	15.188	12510
2	7	739.3838991584762	4	40	10	left	left	1	96	15.168	6329
2	8	757.4439245351614	4	40	10	right	left	0	50	15.328	3262
2	9	385.41069183437446	4	40	10	right	left	0	109	15.243	7151
2	10	2287.2445389713753	4	40	10	left	left	1	164	15.157	10820
