
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	354.0197952997178	4	40	10	right	right	1	1	19.231	52
1	2	742.9681281341024	4	40	10	right	right	1	8	16.064	498
1	3	495.5117684705339	4	40	10	left	right	0	1	18.868	53
1	4	1425.990314632578	4	40	10	right	right	1	4	17.467	229
1	5	255.95291007738712	4	40	10	left	right	0	8	16.36	489
1	6	910.4535582166736	4	40	10	right	right	1	4	17.699	226
1	7	618.1695268310968	4	40	10	right	right	1	2846	15.153	187814
1	8	2805.247882366271	4	40	10	left	right	0	4	15.564	257
1	9	1070.4498797971032	4	40	10	left	right	0	16	15.414	1038
1	10	347.4712092089001	4	40	10	left	right	0	1	18.519	54
1	11	784.7981490507565	4	40	10	left	right	0	12	15.852	757
1	12	2390.9719966604007	4	40	10	right	right	1	3	19.481	154
1	13	850.3557632128606	4	40	10	right	right	1	1877	15.157	123838
1	14	414.5377941312188	4	40	10	right	right	1	1	21.739	46
1	15	568.9594123046177	4	40	10	right	right	1	4	19.048	210
1	16	328.24672928132475	4	40	10	left	right	0	5	18.315	273
1	17	698.915404314206	4	40	10	left	right	0	2	17.544	114
1	18	463.6428158222365	4	40	10	left	right	0	3	15.707	191
1	19	3247.0504601288458	4	40	10	left	right	0	1	71.429	14
1	20	1450.4319003463115	4	40	10	left	right	0	3	16.575	181
1	21	374.23053438690226	4	40	10	right	right	1	9	14.803	608
1	22	533.5462560154117	4	40	10	left	right	0	3	19.231	156
1	23	397.3892308612175	4	40	10	left	right	0	2	14.925	134
1	24	631.5755353018803	4	40	10	right	right	1	9	15.228	591
1	25	1639.204498742618	4	40	10	right	right	1	1	90.909	11
1	26	610.6463712441902	4	40	10	left	right	0	5	17.301	289
1	27	1590.0139592356606	4	40	10	right	right	1	1	16.129	62
1	28	407.30395442602025	4	40	10	right	right	1	3	18.519	162
1	29	1120.1967562496084	4	40	10	right	right	1	1	29.412	34
1	30	475.39473298117235	4	40	10	left	right	0	2	19.608	102
1	31	1423.5078530140402	4	40	10	right	right	1	2	22.989	87
1	32	261.84272214044546	4	40	10	left	right	0	1	19.231	52
1	33	608.3070379927153	4	40	10	left	right	0	14	16.166	866
1	34	493.65101143657773	4	40	10	right	right	1	4	18.018	222
1	35	2514.1864413609665	4	40	10	right	right	1	4	17.778	225
1	36	511.78874640106113	4	40	10	left	right	0	1	26.316	38
1	37	872.8136615234787	4	40	10	left	right	0	7	16.055	436
1	38	802.9499541720157	4	40	10	left	right	0	4	16.736	239
1	39	384.9677695451649	4	40	10	right	right	1	4	17.094	234
1	40	651.5497413253497	4	40	10	right	right	1	2	14.706	136
2	1	465.05682469272597	4	40	10	left	right	0	1	23.256	43
2	2	2991.7818294671756	4	40	10	left	right	0	6	15.957	376
2	3	1026.4898020851474	4	40	10	left	right	0	224	15.187	14749
2	4	237.83229781952082	4	40	10	right	right	1	12	15.267	786
2	5	1052.4636907743593	4	40	10	right	right	1	13	15.169	857
2	6	1180.8161585607627	4	40	10	left	right	0	4	18.519	216
2	7	1182.5387264098763	4	40	10	right	right	1	10	16.367	611
2	8	643.3863053396082	4	40	10	right	right	1	16	15.224	1051
2	9	927.3919315853218	4	40	10	left	right	0	256	15.199	16843
2	10	316.8509885025991	4	40	10	left	right	0	9	15.437	583
2	11	627.8162318064694	4	40	10	left	right	0	6	17.493	343
2	12	2703.4175744303534	4	40	10	left	right	0	2	14.925	134
2	13	2222.6252697757536	4	40	10	right	right	1	1	20	50
2	14	1817.0861387354205	4	40	10	left	right	0	7	15.873	441
2	15	598.7513677392171	4	40	10	right	right	1	4	18.692	214
2	16	384.5489720569444	4	40	10	left	right	0	3	14.493	207
2	17	223.42991492738784	4	40	10	right	right	1	4	15.038	266
2	18	499.6734430326294	4	40	10	right	right	1	4	15.873	252
2	19	470.3172023401738	4	40	10	right	right	1	3	18.987	158
2	20	1770.3085086668762	4	40	10	right	right	1	1	15.625	64
2	21	345.69995684960554	4	40	10	left	right	0	2	28.169	71
2	22	396.7570242375029	4	40	10	left	right	0	4	18.779	213
2	23	2133.160852075521	4	40	10	right	right	1	7	14.768	474
2	24	231.66964380526682	4	40	10	left	right	0	1	200	5
2	25	691.1115901157967	4	40	10	right	right	1	162	15.214	10648
2	26	754.4757670268644	4	40	10	left	right	0	2	14.815	135
2	27	1779.7096303858593	4	40	10	right	right	1	3	15.075	199
2	28	1492.9888151350017	4	40	10	right	right	1	4	18.957	211
2	29	672.8875052273024	4	40	10	left	right	0	1	58.824	17
2	30	1481.900622710671	4	40	10	left	right	0	2	14.815	135
2	31	250.67207717533265	4	40	10	left	right	0	19	15.651	1214
2	32	348.74516771421315	4	40	10	right	right	1	8	15.717	509
2	33	346.5067798734641	4	40	10	right	right	1	22	15.278	1440
2	34	382.73698740223756	4	40	10	left	right	0	13	15.169	857
2	35	589.3847536099433	4	40	10	left	right	0	7	16.393	427
2	36	331.598712315395	4	40	10	right	right	1	4	17.391	230
2	37	218.44899843563132	4	40	10	right	right	1	1	23.81	42
2	38	958.7711317571446	4	40	10	left	right	0	1	23.81	42
2	39	768.6562680548016	4	40	10	right	right	1	4	16	250
2	40	2034.5860608850858	4	40	10	right	right	1	115	15.174	7579
3	1	727.0951678939072	4	40	10	right	right	1	3	15.228	197
3	2	643.6980329482174	4	40	10	left	right	0	3	20.979	143
3	3	662.4094236836951	4	40	10	left	right	0	1	13.514	74
3	4	313.2845529341113	4	40	10	left	right	0	9	16.453	547
3	5	770.0729478334719	4	40	10	right	right	1	9	15.306	588
3	6	1348.188726615963	4	40	10	left	right	0	1	24.39	41
3	7	2163.1128343411992	4	40	10	right	right	1	1	333.333	3
3	8	449.455903742513	4	40	10	left	right	0	2964	15.155	195584
3	9	207.7475717665664	4	40	10	right	right	1	4	15.267	262
3	10	428.5024294874638	4	40	10	right	right	1	4	15.152	264
3	11	275.5480751855828	4	40	10	left	right	0	3	15.544	193
3	12	218.0840776460499	4	40	10	left	right	0	1	19.231	52
3	13	699.668978144468	4	40	10	right	right	1	32	15.362	2083
3	14	565.9523739838808	4	40	10	left	right	0	5	17.73	282
3	15	444.1137807184573	4	40	10	right	right	1	29	15.167	1912
3	16	3446.8389593005895	4	40	10	left	right	0	1	15.873	63
3	17	550.2687081444319	4	40	10	right	right	1	1	25.641	39
