
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	842.5455969245813	4	40	10	left	left	1	1315	1.835	716546
1	2	368.0405692261023	4	40	10	left	left	1	14	15.73	890
1	3	2555.219017557056	4	40	10	left	left	1	10	15.48	646
1	4	242.3772675859004	4	40	10	right	right	1	11	15.67	702
1	5	646.6336904864729	4	40	10	right	left	0	22	15.592	1411
1	6	1453.1944428269144	4	40	10	left	right	0	9	16.453	547
1	7	503.41816399627834	4	40	10	right	right	1	49	15.336	3195
1	8	1281.0925855021985	4	40	10	right	right	1	11	15.278	720
1	9	949.036973272787	4	40	10	left	left	1	30	15.345	1955
1	10	501.9731968604841	4	40	10	left	right	0	29	15.393	1884
1	11	301.1567639711662	4	40	10	right	right	1	11	16.517	666
1	12	949.8469832693999	4	40	10	right	right	1	10	15.129	661
1	13	946.5250230339268	4	40	10	right	right	1	12	16.349	734
1	14	292.9916100404376	4	40	10	right	right	1	8	15.474	517
1	15	859.2391236677612	4	40	10	left	left	1	23	15.657	1469
1	16	1147.9380366376345	4	40	10	right	right	1	10	15.798	633
1	17	533.3518733652832	4	40	10	right	right	1	17	15.455	1100
1	18	1082.5289796828515	4	40	10	right	right	1	10	16.639	601
1	19	717.726244542386	4	40	10	left	left	1	16	15.444	1036
1	20	325.7097633807342	4	40	10	left	right	0	30	15.4	1948
1	21	446.8846638553331	4	40	10	right	right	1	158	15.153	10427
1	22	350.2539715723799	4	40	10	left	right	0	14	15.334	913
1	23	398.2920428722334	4	40	10	left	right	0	16	16.064	996
1	24	310.15269469225507	4	40	10	left	left	1	16	15.984	1001
1	25	651.472617669873	4	40	10	right	right	1	14	15.927	879
1	26	756.7157121979271	4	40	10	right	right	1	11	15.559	707
1	27	605.0187076788573	4	40	10	left	left	1	12	15.544	772
1	28	256.4726803908396	4	40	10	left	right	0	13	15.294	850
1	29	933.2820080663967	4	40	10	left	left	1	11	15.406	714
1	30	1161.3854717200811	4	40	10	left	right	0	18	15.319	1175
1	31	1342.6348730552006	4	40	10	right	right	1	45	15.306	2940
1	32	1205.4672687577167	4	40	10	left	left	1	18	15.789	1140
1	33	1051.605458164057	4	40	10	right	right	1	10	15.267	655
1	34	1129.313397065503	4	40	10	right	right	1	16	15.748	1016
1	35	1618.3604537623762	4	40	10	left	left	1	20	15.552	1286
1	36	204.29120717570072	4	40	10	right	right	1	17	15.554	1093
1	37	914.0370485597293	4	40	10	left	right	0	14	16.073	871
1	38	404.37248700584905	4	40	10	left	left	1	32	15.34	2086
1	39	324.9325019382626	4	40	10	right	right	1	20	15.773	1268
1	40	455.86313604363187	4	40	10	right	right	1	40	15.226	2627
2	1	341.31657236256467	4	40	10	right	right	1	23	15.541	1480
2	2	1356.6230992086826	4	40	10	right	right	1	15	15.291	981
2	3	247.4324623791835	4	40	10	right	right	1	14	15.748	889
2	4	1181.4491690520658	4	40	10	left	right	0	10	15.773	634
2	5	1251.8144555830784	4	40	10	right	left	0	19	15.953	1191
2	6	291.93735847258085	4	40	10	left	right	0	24	15.238	1575
2	7	473.74472491060567	4	40	10	left	left	1	50	15.244	3280
2	8	522.9822657252672	4	40	10	right	right	1	12	16.151	743
2	9	482.0756574644761	4	40	10	right	right	1	29	15.625	1856
2	10	439.1205906786271	4	40	10	left	left	1	10	15.974	626
2	11	404.3855497934087	4	40	10	right	right	1	15	15.167	989
2	12	865.8067575258002	4	40	10	left	left	1	14	15.784	887
2	13	1177.4651724624887	4	40	10	right	right	1	27	15.271	1768
2	14	269.10871456452855	4	40	10	right	right	1	26	15.152	1716
2	15	1624.4332605757504	4	40	10	right	right	1	18	15.721	1145
2	16	645.4948385931054	4	40	10	left	left	1	24	15.267	1572
2	17	307.7428078006973	4	40	10	right	right	1	12	15.852	757
2	18	257.3944515937265	4	40	10	left	left	1	16	15.37	1041
2	19	271.8155600429572	4	40	10	left	left	1	29	15.676	1850
2	20	355.69959752663067	4	40	10	right	right	1	11	16.035	686
2	21	256.50289183719565	4	40	10	left	left	1	11	15.85	694
2	22	677.2182775642968	4	40	10	left	left	1	14	16.26	861
2	23	345.98480744981515	4	40	10	right	right	1	9	15.625	576
2	24	238.70512706185147	4	40	10	right	right	1	33	15.299	2157
2	25	864.2079698410043	4	40	10	right	right	1	10	15.408	649
2	26	444.1746901707031	4	40	10	left	left	1	10	15.291	654
2	27	2097.412880272584	4	40	10	left	left	1	12	15.605	769
2	28	405.5645974126064	4	40	10	left	right	0	15	16.077	933
2	29	1237.8308469859348	4	40	10	right	right	1	25	15.207	1644
2	30	631.8743577640674	4	40	10	left	left	1	12	15.267	786
2	31	1042.3742265795318	4	40	10	left	left	1	17	15.399	1104
2	32	3369.3554061672803	4	40	10	right	right	1	13	16.109	807
2	33	2493.0586022361213	4	40	10	right	right	1	20	15.674	1276
2	34	1351.2674657362911	4	40	10	left	left	1	18	15.831	1137
2	35	2379.1441973402975	4	40	10	left	right	0	8	16.227	493
2	36	364.6404125251581	4	40	10	left	left	1	10	15.337	652
2	37	1006.967062230766	4	40	10	left	right	0	11	16.467	668
2	38	2252.724994713427	4	40	10	right	left	0	14	15.573	899
2	39	873.2324868342532	4	40	10	right	right	1	21	15.533	1352
2	40	405.9548954546852	4	40	10	left	left	1	25	15.152	1650
3	1	369.9905158164298	4	40	10	right	right	1	20	15.588	1283
3	2	308.88727482315295	4	40	10	left	left	1	14	15.556	900
3	3	555.1785832212033	4	40	10	right	right	1	9	16.76	537
3	4	1543.7979205277907	4	40	10	right	right	1	10	15.823	632
3	5	1255.5564941309747	4	40	10	left	left	1	14	15.964	877
3	6	1002.8794174964389	4	40	10	left	right	0	11	15.782	697
3	7	442.4812201113514	4	40	10	left	right	0	10	15.924	628
3	8	484.5121079174046	4	40	10	left	right	0	12	15.936	753
3	9	787.1089827868352	4	40	10	left	left	1	43	7.284	5903
3	10	489.00525732383176	4	40	10	right	right	1	10	15.798	633
3	11	892.2635456356734	4	40	10	right	right	1	13	15.588	834
3	12	1215.427622296752	4	40	10	left	right	0	16	15.764	1015
3	13	443.3660495106784	4	40	10	right	right	1	14	15.573	899
3	14	324.3945085858788	4	40	10	left	left	1	31	15.4	2013
3	15	1244.0119358042643	4	40	10	left	left	1	64	15.37	4164
3	16	375.50783137955796	4	40	10	left	left	1	17	15.611	1089
3	17	1255.2162649000263	4	40	10	left	right	0	8	16.632	481
3	18	857.977706693521	4	40	10	right	right	1	16	15.748	1016
3	19	610.2682110708781	4	40	10	right	right	1	11	15.559	707
3	20	334.4065311633159	4	40	10	left	left	1	30	15.306	1960
3	21	560.9827021553767	4	40	10	right	right	1	10	15.873	630
3	22	720.7107873220021	4	40	10	right	left	0	26	15.522	1675
3	23	513.747272827155	4	40	10	left	left	1	19	15.612	1217
3	24	905.2072996568046	4	40	10	left	right	0	28	15.512	1805
3	25	421.01066759427243	4	40	10	left	left	1	13	15.312	849
3	26	227.0191954523112	4	40	10	right	right	1	17	15.554	1093
3	27	586.0036146772034	4	40	10	right	left	0	31	15.1	2053
3	28	2087.588312828865	4	40	10	right	right	1	17	15.385	1105
3	29	513.7251677030187	4	40	10	right	right	1	14	15.135	925
3	30	1471.7465946608115	4	40	10	left	left	1	16	15.444	1036
3	31	1220.1006005239851	4	40	10	left	left	1	12	15.584	770
3	32	684.9244772822271	4	40	10	left	left	1	8	16.393	488
3	33	546.7977819938899	4	40	10	left	right	0	13	15.931	816
3	34	263.1689176745491	4	40	10	right	right	1	18	15.517	1160
3	35	428.1695288725748	4	40	10	right	left	0	13	15.796	823
3	36	358.16099486002156	4	40	10	left	right	0	9	15.464	582
3	37	432.77711558279776	4	40	10	right	right	1	12	15.831	758
3	38	884.1368762130379	4	40	10	right	right	1	10	16.207	617
3	39	291.5609017905228	4	40	10	right	right	1	9	15.254	590
3	40	668.4757921130075	4	40	10	right	right	1	11	16.248	677
4	1	290.4028787076768	4	40	10	left	right	0	6	17.442	344
4	2	805.8016862577009	4	40	10	right	right	1	11	10.358	1062
4	3	1235.3126612401918	4	40	10	left	right	0	8	15.296	523
4	4	403.9346626017066	4	40	10	right	right	1	12	15.873	756
4	5	678.4797872140499	4	40	10	left	left	1	12	15.306	784
4	6	305.49975155478336	4	40	10	right	right	1	8	16.667	480
4	7	2600.2829122761154	4	40	10	left	right	0	9	16.729	538
4	8	506.34198173113913	4	40	10	left	left	1	6	17.751	338
4	9	464.8327165368179	4	40	10	right	left	0	3	21.429	140
4	10	374.42849826561525	4	40	10	right	right	1	1	15.873	63
4	11	335.0806909874603	4	40	10	left	right	0	5	16.447	304
4	12	483.2979499660768	4	40	10	left	right	0	4	16.529	242
4	13	392.5001876987017	4	40	10	left	left	1	4	16.529	242
4	14	486.6098357059949	4	40	10	right	left	0	3	17.341	173
4	15	885.4665020569391	4	40	10	left	right	0	4	15.209	263
4	16	2658.5654197668678	4	40	10	left	left	1	1	52.632	19
4	17	812.1443309754844	4	40	10	right	right	1	9	15.707	573
4	18	495.4522488303934	4	40	10	left	left	1	11	16.566	664
4	19	406.3975243069963	4	40	10	right	right	1	7	16.706	419
4	20	368.7036296204606	4	40	10	left	left	1	6	16.086	373
4	21	232.44517822331767	4	40	10	right	right	1	6	16.216	370
4	22	1107.8427606490613	4	40	10	right	right	1	7	15.873	441
4	23	1024.0497508561552	4	40	10	right	left	0	10	16.34	612
4	24	533.7265436636906	4	40	10	left	right	0	6	16.393	366
4	25	1568.6887707224325	4	40	10	right	left	0	6	15.504	387
4	26	1636.0729418905125	4	40	10	left	right	0	29	15.508	1870
4	27	639.0594871356138	4	40	10	left	left	1	14	9.986	1402
4	28	956.5788458835884	4	40	10	right	right	1	9	15.652	575
4	29	1632.3947554239342	4	40	10	right	right	1	9	16.043	561
4	30	1194.6656784936622	4	40	10	left	right	0	8	15.326	522
4	31	2792.6176832240435	4	40	10	right	left	0	1	17.241	58
4	32	1080.4716834711876	4	40	10	left	left	1	5	17.182	291
4	33	258.1152360201412	4	40	10	right	left	0	5	17.857	280
4	34	218.9058254622338	4	40	10	right	right	1	3	16.854	178
