
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	1166.0717450494517	4	40	10	right	right	1	123	15.261	8060
1	2	718.2018024067806	4	40	10	left	right	0	21	15.351	1368
1	3	626.4735639551354	4	40	10	right	left	0	33	15.306	2156
1	4	484.67003370802325	4	40	10	right	right	1	37	15.501	2387
1	5	785.5863934196842	4	40	10	left	left	1	64	15.18	4216
1	6	683.0497968086796	4	40	10	left	left	1	75	15.294	4904
1	7	2022.5939211450893	4	40	10	left	left	1	85	15.241	5577
1	8	568.035885631645	4	40	10	left	left	1	117	15.205	7695
1	9	2007.0866915154868	4	40	10	right	right	1	16	15.61	1025
1	10	1060.1882938027697	4	40	10	right	left	0	73	15.346	4757
1	11	4004.860646157107	4	40	10	left	right	0	18	15.385	1170
1	12	1135.4808030286522	4	40	10	right	right	1	57	15.302	3725
1	13	450.1283830483311	4	40	10	right	right	1	106	15.184	6981
1	14	1168.3169057107075	4	40	10	left	left	1	52	15.272	3405
1	15	799.5475003268148	4	40	10	left	left	1	61	15.338	3977
1	16	2828.942023639259	4	40	10	left	left	1	49	15.356	3191
1	17	535.0148008103068	4	40	10	right	right	1	111	15.222	7292
1	18	507.1689964045766	4	40	10	right	right	1	31	15.4	2013
1	19	362.201315533172	4	40	10	right	right	1	91	15.21	5983
1	20	1228.1164076355112	4	40	10	right	right	1	82	15.233	5383
1	21	208.0248338900808	4	40	10	right	left	0	70	15.227	4597
1	22	1232.8376006865062	4	40	10	right	right	1	22	15.714	1400
1	23	3368.773706244742	4	40	10	left	left	1	47	15.319	3068
1	24	278.9047856480056	4	40	10	right	right	1	37	15.308	2417
1	25	602.8120898865088	4	40	10	left	left	1	79	15.31	5160
1	26	377.7159460920301	4	40	10	right	right	1	47	15.304	3071
1	27	272.06162616217404	4	40	10	left	left	1	27	15.598	1731
1	28	833.3100967080541	4	40	10	right	right	1	18	15.371	1171
1	29	292.79906304389885	4	40	10	right	right	1	29	15.676	1850
1	30	1089.4678449766438	4	40	10	right	left	0	14	15.608	897
1	31	328.527869820724	4	40	10	left	left	1	35	15.198	2303
1	32	546.7611720431205	4	40	10	left	left	1	53	15.322	3459
1	33	346.9471151956195	4	40	10	left	left	1	49	15.322	3198
1	34	1014.7863878415288	4	40	10	left	left	1	58	15.372	3773
1	35	448.34170286411495	4	40	10	right	left	0	58	15.183	3820
1	36	274.9552741517311	4	40	10	left	right	0	59	15.269	3864
1	37	1271.3968264568466	4	40	10	right	right	1	15	15.873	945
1	38	1175.2396337341288	4	40	10	left	left	1	20	15.163	1319
1	39	322.91660230619783	4	40	10	left	left	1	78	15.205	5130
1	40	1961.8361784589424	4	40	10	left	left	1	35	15.528	2254
2	1	639.8825252344179	4	40	10	right	right	1	24	15.219	1577
2	2	1858.2567176790608	4	40	10	left	left	1	16	15.444	1036
2	3	334.5886237265995	4	40	10	right	right	1	65	15.287	4252
2	4	302.15308980375596	4	40	10	left	left	1	40	15.291	2616
2	5	928.3358239807808	4	40	10	left	right	0	22	15.225	1445
2	6	343.53949410123164	4	40	10	left	left	1	46	15.282	3010
2	7	969.5320430540114	4	40	10	right	right	1	65	15.301	4248
