
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	1184.3326711978539	4	40	10	left	left	1	10	15.432	648
1	2	594.3619495961411	4	40	10	left	left	1	6	14.354	418
1	3	907.4656120565533	4	40	10	left	right	0	8	15.717	509
1	4	512.6846793591228	4	40	10	left	left	1	8	14.981	534
1	5	814.5705593806214	4	40	10	right	left	0	5	13.661	366
1	6	287.31864176548186	4	40	10	right	left	0	10	15.798	633
1	7	836.5201496378323	4	40	10	left	right	0	8	15.905	503
1	8	498.0078014036314	4	40	10	right	left	0	5	16.234	308
1	9	230.38962685448186	4	40	10	right	right	1	7	15.801	443
1	10	2250.1983986932687	4	40	10	right	right	1	5	15.244	328
1	11	1385.8506144606495	4	40	10	right	right	1	6	15.424	389
1	12	687.298987078928	4	40	10	left	right	0	6	16.043	374
1	13	1358.265865503715	4	40	10	right	left	0	6	15.625	384
1	14	1201.821266868813	4	40	10	right	left	0	2	13.333	150
1	15	997.9062533608729	4	40	10	left	right	0	6	14.925	402
1	16	825.434576728734	4	40	10	right	right	1	7	15.453	453
1	17	569.2236922838922	4	40	10	right	right	1	10	14.948	669
1	18	570.3064296160466	4	40	10	left	right	0	20	15.004	1333
1	19	502.58409101687363	4	40	10	right	right	1	9	14.754	610
1	20	444.6686897334723	4	40	10	left	right	0	19	15.02	1265
1	21	1482.8979487384224	4	40	10	left	left	1	7	15.837	442
1	22	848.706113524998	4	40	10	left	left	1	38	15.091	2518
1	23	601.5412448652077	4	40	10	right	left	0	150	15.167	9890
1	24	2311.890539180544	4	40	10	left	right	0	7	16.355	428
1	25	571.9816613296821	4	40	10	left	right	0	3	17.143	175
1	26	1026.8189672538222	4	40	10	left	right	0	42	15.407	2726
1	27	1251.1579485223467	4	40	10	left	left	1	8	15.656	511
1	28	535.8492357161889	4	40	10	right	left	0	9	15.126	595
1	29	315.7737157146182	4	40	10	right	left	0	11	15.782	697
1	30	1255.6387621518263	4	40	10	left	right	0	17	15.165	1121
1	31	209.04822992956286	4	40	10	right	left	0	23	15.062	1527
1	32	282.11213111881943	4	40	10	right	right	1	151	15.115	9990
1	33	528.0606668378147	4	40	10	right	right	1	38	15.2	2500
1	34	1191.7545672096257	4	40	10	left	right	0	17	13.158	1292
1	35	294.01264921812805	4	40	10	right	right	1	11	14.905	738
1	36	757.9331454209366	4	40	10	left	left	1	23	15.293	1504
1	37	1383.2299869203266	4	40	10	left	right	0	13	15.029	865
1	38	1064.7183211681427	4	40	10	left	left	1	7	14.523	482
1	39	809.7934845749631	4	40	10	right	left	0	26	15.012	1732
1	40	473.28398494929434	4	40	10	right	right	1	25	15.461	1617
2	1	655.7794350876222	4	40	10	right	left	0	8	14.76	542
2	2	328.45312307392805	4	40	10	left	right	0	15	15.56	964
2	3	964.9371507380106	4	40	10	left	right	0	65	15.219	4271
2	4	443.86014423681195	4	40	10	right	left	0	40	15.055	2657
2	5	2472.6492179497086	4	40	10	left	left	1	12	14.797	811
2	6	1224.0186555485575	4	40	10	right	left	0	17	15.357	1107
2	7	1552.0908177717577	4	40	10	right	left	0	7	15.909	440
2	8	722.1616162955123	4	40	10	left	right	0	9	15.679	574
2	9	217.1731671958592	4	40	10	left	right	0	27	15.332	1761
2	10	512.3245634244461	4	40	10	left	left	1	9	15.901	566
2	11	674.4433387222798	4	40	10	right	left	0	27	15.042	1795
2	12	396.37890883393237	4	40	10	right	left	0	7	15.119	463
2	13	457.27232104496295	4	40	10	left	right	0	7	16.317	429
2	14	2392.3013561682824	4	40	10	left	right	0	21	15.108	1390
2	15	864.9839849475073	4	40	10	right	right	1	8	16.064	498
2	16	652.2108123813053	4	40	10	left	left	1	7	16.241	431
2	17	231.3450613501419	4	40	10	left	right	0	6	15.504	387
2	18	503.47149361328763	4	40	10	left	right	0	20	15.48	1292
2	19	252.37344391493087	4	40	10	right	right	1	5	16.287	307
2	20	1092.2667180534331	4	40	10	right	right	1	3	15.625	192
2	21	578.0963766237155	4	40	10	left	right	0	13	14.79	879
2	22	262.7590396342406	4	40	10	left	left	1	11	15.068	730
2	23	977.3552691034465	4	40	10	right	left	0	7	16.055	436
2	24	460.1377999506206	4	40	10	right	right	1	3	16.393	183
2	25	1045.8215560466065	4	40	10	left	left	1	7	14.583	480
2	26	256.1558484373835	4	40	10	right	left	0	14	15.054	930
2	27	1692.1653088213723	4	40	10	right	right	1	11	15.782	697
2	28	900.0470160134025	4	40	10	left	right	0	5	15.924	314
2	29	975.322449601355	4	40	10	right	left	0	24	15.056	1594
2	30	1099.1451484337058	4	40	10	left	right	0	2	17.094	117
2	31	325.50348430105146	4	40	10	right	right	1	40	15.285	2617
2	32	2170.7333587801622	4	40	10	left	right	0	7	14.523	482
2	33	1025.7760820966075	4	40	10	right	left	0	7	16.166	433
2	34	472.1124589556792	4	40	10	left	right	0	1	37.037	27
2	35	604.1379272110371	4	40	10	right	right	1	8	15.564	514
2	36	1364.1703944029027	4	40	10	left	right	0	10	14.925	670
2	37	296.2995483044668	4	40	10	left	right	0	40	15.106	2648
2	38	1010.7864071884294	4	40	10	right	left	0	8	14.625	547
2	39	221.83482814919526	4	40	10	right	left	0	14	15.317	914
2	40	1110.482808524057	4	40	10	right	left	0	10	14.599	685
3	1	986.9525363394905	4	40	10	left	right	0	7	14.644	478
3	2	215.32266601496767	4	40	10	right	right	1	4	16	250
3	3	999.4479641341815	4	40	10	right	right	1	21	15.498	1355
3	4	962.1583486913103	4	40	10	left	left	1	6	14.925	402
3	5	284.03766915911655	4	40	10	left	left	1	8	15.444	518
3	6	543.7419208458614	4	40	10	right	right	1	6	14.528	413
3	7	1045.9509617319297	4	40	10	left	right	0	8	15.595	513
3	8	921.9650000569272	4	40	10	right	left	0	6	15.267	393
3	9	1030.2399632013057	4	40	10	right	left	0	6	14.778	406
3	10	348.6606468840023	4	40	10	right	left	0	5	14.837	337
3	11	739.2409825874605	4	40	10	right	left	0	9	14.354	627
3	12	3132.034939964336	4	40	10	left	right	0	22	15.406	1428
3	13	363.3340235393556	4	40	10	left	right	0	9	15	600
3	14	589.4791284242647	4	40	10	right	right	1	3	17.442	172
3	15	1414.3887807584458	4	40	10	right	right	1	10	16.129	620
3	16	248.57200036994226	4	40	10	right	right	1	22	15.428	1426
3	17	469.8185648319596	4	40	10	left	right	0	56	15.276	3666
3	18	339.7544305110405	4	40	10	left	right	0	22	15.31	1437
3	19	220.23100951126202	4	40	10	left	left	1	11	15.782	697
3	20	1411.0041793879657	4	40	10	right	left	0	17	15.385	1105
3	21	1766.4944708091896	4	40	10	right	left	0	16	15.595	1026
3	22	240.29196484911256	4	40	10	left	left	1	19	14.832	1281
3	23	1506.967632327234	4	40	10	left	right	0	7	14.925	469
3	24	248.59753066503728	4	40	10	left	left	1	9	15.598	577
3	25	563.8686612743794	4	40	10	left	left	1	35	15.351	2280
3	26	1123.7275640686694	4	40	10	left	left	1	41	15.31	2678
3	27	415.3538686020131	4	40	10	right	left	0	14	15.201	921
3	28	883.8857126016778	4	40	10	left	left	1	1	17.241	58
3	29	1330.7096605021097	4	40	10	right	left	0	7	14.644	478
3	30	331.0108451128059	4	40	10	left	right	0	9	15.437	583
3	31	1073.0059983647932	4	40	10	left	right	0	15	15.464	970
3	32	389.37200389346924	4	40	10	right	left	0	7	15.837	442
3	33	375.0533708690632	4	40	10	right	left	0	52	15.147	3433
3	34	1599.6102021149848	4	40	10	right	left	0	7	16.355	428
3	35	913.1355413546744	4	40	10	left	right	0	8	15.873	504
3	36	613.3181540322507	4	40	10	left	left	1	8	15.968	501
3	37	1257.0418059664285	4	40	10	right	left	0	6	14.252	421
3	38	266.0003764882243	4	40	10	right	left	0	2	17.544	114
3	39	312.780029656884	4	40	10	left	right	0	13	14.96	869
3	40	505.51457214309846	4	40	10	right	right	1	13	14.943	870
4	1	452.68508860987833	4	40	10	right	right	1	9	15.025	599
4	2	1413.6708542891622	4	40	10	right	left	0	7	15.625	448
4	3	820.7733608813285	4	40	10	left	left	1	6	16.043	374
4	4	1570.355316130048	4	40	10	left	left	1	19	15.523	1224
4	5	464.1738374108781	4	40	10	right	right	1	11	15.559	707
4	6	297.0254096994384	4	40	10	right	left	0	8	15.656	511
4	7	894.2059740106935	4	40	10	left	right	0	22	15.141	1453
4	8	437.98624049849013	4	40	10	right	right	1	14	15.748	889
4	9	1025.1955250365768	4	40	10	right	right	1	21	15.239	1378
4	10	2574.7399553896953	4	40	10	right	right	1	9	15.845	568
4	11	203.5281545982076	4	40	10	left	right	0	41	15.281	2683
4	12	310.705607089926	4	40	10	left	right	0	59	15.179	3887
4	13	572.7395828923311	4	40	10	right	left	0	10	14.903	671
4	14	205.65088455388866	4	40	10	left	left	1	5	16.026	312
4	15	312.62528804393844	4	40	10	left	left	1	43	15.088	2850
4	16	1736.4061755295527	4	40	10	left	left	1	9	15.873	567
4	17	355.40970640561943	4	40	10	right	right	1	2	16.26	123
4	18	508.0058097653904	4	40	10	right	left	0	7	15.054	465
4	19	2206.0763570736685	4	40	10	right	left	0	5	14.451	346
4	20	1600.1780085146995	4	40	10	left	right	0	6	14.458	415
4	21	810.8006284702616	4	40	10	right	right	1	26	15.125	1719
4	22	564.1812625916507	4	40	10	right	right	1	23	15.293	1504
4	23	785.5776876445539	4	40	10	left	right	0	7	14.799	473
4	24	253.69401148269122	4	40	10	left	left	1	4	15.504	258
4	25	514.5160846216432	4	40	10	right	left	0	17	15.625	1088
4	26	810.2506069671355	4	40	10	left	left	1	6	15.873	378
4	27	277.7910536752986	4	40	10	left	left	1	7	15.66	447
4	28	865.4431733605485	4	40	10	right	left	0	6	15.424	389
4	29	535.2336392834069	4	40	10	right	right	1	9	15.203	592
4	30	438.3349535428109	4	40	10	right	right	1	9	14.706	612
4	31	1387.799897524225	4	40	10	right	right	1	27	15.376	1756
4	32	659.3371780129136	4	40	10	left	right	0	19	15.536	1223
4	33	738.4287350647325	4	40	10	left	left	1	7	15.152	462
4	34	711.9971542018311	4	40	10	right	left	0	8	15.564	514
4	35	349.9639352106234	4	40	10	left	left	1	7	14.831	472
4	36	200.9613528590541	4	40	10	left	left	1	22	15.058	1461
4	37	371.76939887959986	4	40	10	left	left	1	15	14.97	1002
4	38	867.8713883059273	4	40	10	right	left	0	7	15.251	459
4	39	418.49174505931217	4	40	10	left	right	0	6	15.345	391
4	40	800.039959847796	4	40	10	left	right	0	7	15.801	443
