
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	1667.4360408257014	4	40	10	right	right	1	9	13.867	649
1	2	593.5365472902113	4	40	10	right	left	0	6	12.931	464
1	3	239.5566014193445	4	40	10	left	left	1	6	14.151	424
1	4	753.1107609272373	4	40	10	right	left	0	10	13.68	731
1	5	959.4534713099717	4	40	10	left	right	0	7	12.821	546
1	6	443.2162964105669	4	40	10	right	right	1	26	13.111	1983
1	7	407.08983794255266	4	40	10	right	right	1	5	13.736	364
1	8	889.6717845811307	4	40	10	left	right	0	9	12.912	697
1	9	520.3836522028977	4	40	10	right	right	1	6	14.354	418
1	10	2303.688579915649	4	40	10	right	right	1	10	13.193	758
1	11	640.2425322795397	4	40	10	left	right	0	10	14.205	704
1	12	1776.2895148909784	4	40	10	left	right	0	7	14.374	487
1	13	1789.4844993098136	4	40	10	left	left	1	5	13.774	363
1	14	1457.2815952107326	4	40	10	right	left	0	2	21.053	95
1	15	266.9167190406234	4	40	10	left	right	0	11	13.614	808
1	16	1272.7150519995528	4	40	10	right	left	0	5	14.085	355
1	17	229.9584753009031	4	40	10	left	right	0	12	12.945	927
1	18	2911.861323805283	4	40	10	left	left	1	6	14.888	403
1	19	1088.7561292694363	4	40	10	right	left	0	6	13.73	437
1	20	908.3645996469514	4	40	10	right	left	0	5	13.587	368
1	21	1236.4322688375373	4	40	10	left	left	1	1	41.667	24
1	22	920.5673525382151	4	40	10	left	left	1	9	13.393	672
1	23	261.8399935549637	4	40	10	left	left	1	8	14.159	565
1	24	418.50494953547286	4	40	10	left	left	1	7	12.987	539
1	25	906.9910998912451	4	40	10	left	left	1	6	17.341	346
1	26	965.280358579441	4	40	10	right	left	0	4	15.686	255
1	27	2104.3982196320458	4	40	10	right	left	0	6	14.67	409
1	28	241.61361301619823	4	40	10	right	left	0	8	13.889	576
1	29	1193.5331365299703	4	40	10	left	left	1	9	14.241	632
1	30	246.07519378082844	4	40	10	left	left	1	14	13.659	1025
1	31	662.2049356168045	4	40	10	right	left	0	6	13.274	452
1	32	1285.1792637284668	4	40	10	right	right	1	5	14.793	338
1	33	987.2389155309675	4	40	10	left	right	0	4	13.841	289
1	34	1653.5034517440586	4	40	10	right	left	0	5	15.432	324
1	35	266.28502278070584	4	40	10	right	right	1	2	18.519	108
1	36	518.3740786036278	4	40	10	right	right	1	5	14.245	351
1	37	359.3252411509894	4	40	10	left	right	0	12	14.724	815
1	38	530.1341082001893	4	40	10	left	right	0	3	13.953	215
1	39	1653.1636594416939	4	40	10	right	left	0	16	12.79	1251
1	40	673.3202277411358	4	40	10	left	right	0	5	13.774	363
2	1	333.3305376822376	4	40	10	right	left	0	7	14.113	496
2	2	1108.1494207424314	4	40	10	right	left	0	7	14.113	496
2	3	1455.639224330054	4	40	10	right	left	0	5	12.853	389
2	4	788.4668798459575	4	40	10	left	right	0	3	13.699	219
2	5	331.3405522203971	4	40	10	right	right	1	2	18.018	111
2	6	1020.534328273249	4	40	10	right	right	1	7	13.619	514
2	7	1229.7414678200569	4	40	10	left	right	0	7	12.963	540
2	8	667.9207548276386	4	40	10	left	right	0	415	12.994	31939
2	9	309.00245446494193	4	40	10	left	left	1	11	13.189	834
2	10	1141.32637450253	4	40	10	left	left	1	19	13.167	1443
2	11	435.14364745392606	4	40	10	right	left	0	6	14.925	402
2	12	1871.3726920084578	4	40	10	left	left	1	7	13.54	517
2	13	345.7058982851047	4	40	10	right	left	0	6	14.118	425
2	14	1078.6388457821192	4	40	10	right	left	0	6	14.218	422
2	15	1342.3982157630728	4	40	10	right	left	0	6	14.706	408
2	16	583.5913140383358	4	40	10	left	left	1	9	14.151	636
2	17	429.91351636212687	4	40	10	right	left	0	4	16.667	240
2	18	467.65331329149853	4	40	10	right	right	1	4	13.699	292
2	19	508.1779983080918	4	40	10	right	right	1	6	14.563	412
2	20	756.1934187611648	4	40	10	left	right	0	14	13.848	1011
2	21	3507.0259315076974	4	40	10	left	left	1	5	14.925	335
2	22	438.47873016921926	4	40	10	right	left	0	7	14.085	497
2	23	504.11539228737576	4	40	10	right	right	1	8	13.223	605
2	24	1790.1461067751022	4	40	10	left	right	0	8	12.78	626
2	25	1303.562509306069	4	40	10	right	left	0	5	16.835	297
2	26	879.3461180492886	4	40	10	left	left	1	9	13.333	675
2	27	1190.4039418404004	4	40	10	left	left	1	7	13.645	513
2	28	988.0022309143332	4	40	10	right	left	0	4	14.545	275
2	29	705.2136445858697	4	40	10	left	left	1	6	13.73	437
2	30	1707.684317608651	4	40	10	left	left	1	5	13.441	372
2	31	287.43257181327607	4	40	10	left	left	1	5	13.158	380
2	32	1303.361122113137	4	40	10	left	left	1	5	14.124	354
2	33	1492.91757481938	4	40	10	left	left	1	5	14.245	351
2	34	918.4744063143232	4	40	10	left	left	1	7	15.054	465
2	35	900.5225778373198	4	40	10	right	left	0	5	14.286	350
2	36	1042.262632130895	4	40	10	left	left	1	5	14.577	343
2	37	821.298356909659	4	40	10	left	left	1	5	15.576	321
2	38	564.9268089787688	4	40	10	right	left	0	5	15.244	328
2	39	648.1520776817731	4	40	10	right	left	0	4	14.925	268
2	40	1561.175741837918	4	40	10	right	right	1	3	13.699	219
3	1	201.5242580188245	4	40	10	left	right	0	8	14.235	562
