
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	1312.6441435893157	4	40	10	right	right	1	60	15.198	3948
1	2	472.3261585779853	4	40	10	left	left	1	30	15.432	1944
1	3	983.2635086906713	4	40	10	right	right	1	33	15.457	2135
1	4	1497.756206964945	4	40	10	right	right	1	19	15.273	1244
1	5	563.992780508984	4	40	10	right	left	0	24	15.717	1527
1	6	1619.2578615668797	4	40	10	left	left	1	17	15.539	1094
1	7	236.0667733354041	4	40	10	left	right	0	44	15.455	2847
1	8	458.7389970916635	4	40	10	left	right	0	33	15.214	2169
1	9	659.675191376973	4	40	10	right	left	0	15	15.306	980
1	10	607.6646358621631	4	40	10	left	right	0	46	15.359	2995
1	11	814.290265000684	4	40	10	left	left	1	17	15.668	1085
1	12	2135.521586903366	4	40	10	right	right	1	16	15.889	1007
1	13	836.7281044994807	4	40	10	left	left	1	14	15.184	922
1	14	899.1318943522487	4	40	10	left	left	1	18	15.19	1185
1	15	406.31282794620773	4	40	10	left	left	1	16	15.717	1018
1	16	420.28774254089154	4	40	10	right	right	1	11	15.257	721
1	17	560.9130832192812	4	40	10	left	left	1	16	15.429	1037
1	18	309.45525568624794	4	40	10	left	left	1	20	15.396	1299
1	19	1406.757479055935	4	40	10	left	left	1	16	15.656	1022
1	20	691.0061690116886	4	40	10	left	left	1	27	15.402	1753
1	21	206.66798865073906	4	40	10	left	right	0	22	15.214	1446
1	22	503.491516940189	4	40	10	left	right	0	25	15.413	1622
1	23	694.348201482081	4	40	10	left	left	1	11	15.449	712
1	24	1148.1121305410736	4	40	10	left	right	0	19	15.9	1195
1	25	526.76152747009	4	40	10	right	left	0	9	16.544	544
1	26	259.8577604143539	4	40	10	right	right	1	23	15.232	1510
1	27	438.05390751457395	4	40	10	right	left	0	12	16.238	739
1	28	955.004350575095	4	40	10	right	right	1	16	15.109	1059
1	29	337.96993538906804	4	40	10	right	right	1	26	15.24	1706
1	30	377.535111722152	4	40	10	right	right	1	21	15.162	1385
1	31	1254.7728862771532	4	40	10	right	right	1	16	15.504	1032
1	32	366.06546861444053	4	40	10	left	right	0	16	15.64	1023
1	33	1742.4543458888097	4	40	10	right	right	1	14	15.677	893
1	34	2260.402669980311	4	40	10	left	left	1	20	15.81	1265
1	35	465.7769995156806	4	40	10	right	right	1	47	15.41	3050
1	36	679.1631573763601	4	40	10	right	right	1	15	15.416	973
1	37	206.90327661335817	4	40	10	right	right	1	8	15.504	516
1	38	955.0600508805908	4	40	10	right	left	0	8	15.094	530
1	39	776.9230837819968	4	40	10	left	right	0	10	15.873	630
1	40	2262.0592525071966	4	40	10	right	left	0	12	15.686	765
2	1	2252.1465582240253	4	40	10	left	right	0	57	15.172	3757
2	2	468.85780165731455	4	40	10	right	left	0	13	15.931	816
2	3	1734.2780046990026	4	40	10	right	right	1	40	15.152	2640
2	4	259.1072404851324	4	40	10	left	left	1	25	15.142	1651
2	5	344.3220539195226	4	40	10	left	right	0	11	15.85	694
2	6	813.091790754624	4	40	10	left	left	1	29	15.152	1914
2	7	1420.79375425907	4	40	10	right	right	1	24	15.686	1530
2	8	2948.824665486782	4	40	10	left	left	1	14	15.837	884
2	9	473.79299665935673	4	40	10	right	right	1	40	15.209	2630
2	10	1206.3757250210965	4	40	10	right	left	0	15	15.369	976
2	11	444.0331800370784	4	40	10	left	left	1	14	15.927	879
2	12	568.8935111021153	4	40	10	right	right	1	23	15.323	1501
2	13	469.29540088481383	4	40	10	left	left	1	14	15.766	888
2	14	297.0416810150223	4	40	10	left	left	1	18	15.451	1165
