
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	644.5416405425169	4	40	10	right	right	1	62	15.297	4053
1	2	279.1785845874852	4	40	10	left	left	1	11	15.214	723
1	3	215.7193937936203	4	40	10	right	right	1	10	16.129	620
1	4	382.1630461330111	4	40	10	right	right	1	8	16.162	495
1	5	1619.4263903767248	4	40	10	left	right	0	10	16.026	624
1	6	706.4371304211729	4	40	10	left	left	1	31	15.641	1982
1	7	294.6172640318239	4	40	10	left	left	1	15	16.026	936
1	8	927.6289797058117	4	40	10	left	left	1	30	15.633	1919
1	9	280.48969866943276	4	40	10	left	left	1	21	15.407	1363
1	10	1025.765793866662	4	40	10	left	left	1	14	15.284	916
1	11	717.2901944272357	4	40	10	right	right	1	17	15.77	1078
1	12	201.86706522418558	4	40	10	right	right	1	11	16.2	679
1	13	309.7561563102952	4	40	10	right	right	1	12	15.873	756
1	14	851.0628448512839	4	40	10	right	right	1	9	15.873	567
1	15	2543.4211720928984	4	40	10	left	right	0	9	15.625	576
1	16	281.38890362210907	4	40	10	left	right	0	12	16.26	738
1	17	1054.6084436644232	4	40	10	left	left	1	16	15.968	1002
1	18	1876.5582153943506	4	40	10	right	right	1	16	15.37	1041
1	19	1101.0897643445912	4	40	10	right	right	1	11	15.827	695
1	20	638.5234299984882	4	40	10	right	right	1	14	15.909	880
1	21	1694.5246733676415	4	40	10	left	left	1	11	16.345	673
1	22	764.7004377969837	4	40	10	right	right	1	13	15.169	857
1	23	346.4600659940147	4	40	10	right	right	1	15	15.974	939
1	24	2787.156612935628	4	40	10	right	right	1	14	15.625	896
1	25	271.9783783798814	4	40	10	right	right	1	13	15.276	851
1	26	611.7494490375773	4	40	10	right	right	1	11	15.152	726
1	27	739.1599995490045	4	40	10	right	right	1	9	15.177	593
1	28	3867.09593381845	4	40	10	left	left	1	14	16.222	863
1	29	1314.9731405036553	4	40	10	left	right	0	39	15.264	2555
1	30	423.71048947210534	4	40	10	left	right	0	25	15.615	1601
1	31	1786.136885431751	4	40	10	right	right	1	115	15.2	7566
1	32	603.1485102300542	4	40	10	left	left	1	32	15.144	2113
1	33	981.3292436555596	4	40	10	right	right	1	30	15.19	1975
1	34	2512.427502619697	4	40	10	left	left	1	10	15.798	633
1	35	886.3181469630945	4	40	10	left	right	0	23	15.333	1500
1	36	1122.9324694606632	4	40	10	right	right	1	13	15.513	838
1	37	463.43754935786836	4	40	10	right	right	1	13	15.294	850
1	38	421.8559386464236	4	40	10	left	left	1	10	15.361	651
1	39	3185.3943269881133	4	40	10	left	left	1	16	16.016	999
1	40	359.1589833232091	4	40	10	left	left	1	20	15.337	1304
2	1	1183.398494508953	4	40	10	right	left	0	31	15.347	2020
2	2	915.7530912033035	4	40	10	left	left	1	13	16.291	798
2	3	535.1272308839041	4	40	10	right	left	0	12	15.873	756
2	4	1719.5254619540146	4	40	10	right	right	1	18	15.789	1140
2	5	430.94225267641315	4	40	10	left	left	1	12	16.461	729
2	6	535.9794040204465	4	40	10	right	right	1	16	15.64	1023
2	7	235.96995036811902	4	40	10	right	right	1	14	15.573	899
2	8	1210.0840909722997	4	40	10	right	right	1	11	16.105	683
2	9	2360.564486914749	4	40	10	right	right	1	13	15.7	828
2	10	1411.0633391543145	4	40	10	left	left	1	13	15.99	813
2	11	208.49368301293265	4	40	10	left	left	1	10	15.221	657
2	12	995.1956356233069	4	40	10	left	right	0	10	15.773	634
2	13	312.0595270151567	4	40	10	right	right	1	52	15.308	3397
2	14	338.0164978409957	4	40	10	left	left	1	13	15.588	834
2	15	1795.6726127805953	4	40	10	left	left	1	14	15.945	878
2	16	667.9735669235699	4	40	10	right	right	1	21	15.351	1368
2	17	1028.177460366936	4	40	10	left	left	1	13	15.815	822
2	18	401.4209924191579	4	40	10	left	left	1	12	16.304	736
2	19	317.72943240003457	4	40	10	right	left	0	10	15.504	645
2	20	203.0304000140772	4	40	10	right	right	1	13	16.27	799
2	21	898.7025737638601	4	40	10	right	right	1	25	15.605	1602
2	22	213.21444248067903	4	40	10	left	left	1	10	15.723	636
2	23	394.0379157914752	4	40	10	right	right	1	11	15.647	703
2	24	736.3560753298536	4	40	10	right	right	1	10	15.408	649
