
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	1783.0351336415465	4	40	10	right	right	1	68	15.155	4487
1	2	738.602118342845	4	40	10	right	left	0	65	15.366	4230
1	3	302.96217848113736	4	40	10	left	left	1	31	15.547	1994
1	4	1931.0100108279216	4	40	10	right	right	1	38	15.329	2479
1	5	1236.3795518997151	4	40	10	right	right	1	30	15.576	1926
1	6	1026.0130044636217	4	40	10	right	right	1	58	15.324	3785
1	7	264.962124664613	4	40	10	left	left	1	14	15.487	904
1	8	1767.6554323525795	4	40	10	left	right	0	19	15.372	1236
1	9	549.5226993588649	4	40	10	left	right	0	19	15.69	1211
1	10	1052.6606797996233	4	40	10	right	right	1	40	15.332	2609
1	11	361.6337691295993	4	40	10	right	left	0	45	15.406	2921
1	12	774.1491205628824	4	40	10	right	right	1	19	15.372	1236
1	13	360.34987564769733	4	40	10	right	right	1	54	15.402	3506
1	14	1070.8891675230097	4	40	10	right	left	0	18	15.611	1153
1	15	794.5581797419002	4	40	10	right	right	1	19	15.82	1201
1	16	489.00948587372574	4	40	10	left	right	0	40	15.308	2613
1	17	938.4227326301669	4	40	10	right	right	1	22	15.428	1426
1	18	1157.9435109080187	4	40	10	left	left	1	38	15.23	2495
1	19	1839.1821195924479	4	40	10	left	right	0	25	15.198	1645
1	20	989.8356961172988	4	40	10	right	right	1	31	15.523	1997
1	21	285.9732094352971	4	40	10	left	right	0	70	15.287	4579
1	22	398.9032882256947	4	40	10	left	left	1	44	15.477	2843
1	23	410.1494084487516	4	40	10	left	left	1	30	15.385	1950
1	24	583.9999688433941	4	40	10	left	right	0	24	15.238	1575
1	25	328.0901643578505	4	40	10	right	right	1	78	15.33	5088
1	26	2969.887927914282	4	40	10	left	left	1	33	15.327	2153
1	27	1336.9713401615302	4	40	10	left	left	1	45	15.182	2964
1	28	476.9160810557331	4	40	10	left	right	0	38	15.273	2488
1	29	534.0365194248162	4	40	10	right	right	1	54	15.186	3556
1	30	387.4669439513211	4	40	10	right	left	0	25	15.356	1628
1	31	1062.7575406345372	4	40	10	left	left	1	37	15.164	2440
1	32	806.5491020078956	4	40	10	left	right	0	23	15.457	1488
1	33	1548.7682018061555	4	40	10	right	right	1	14	15.695	892
1	34	388.8536801810086	4	40	10	left	right	0	12	15.365	781
1	35	1342.3408725560425	4	40	10	left	right	0	38	15.517	2449
1	36	1298.3417344865263	4	40	10	right	right	1	48	15.228	3152
1	37	1067.823064440441	4	40	10	left	left	1	37	15.239	2428
1	38	2005.1265252409798	4	40	10	right	right	1	13	16.23	801
1	39	993.6903395091368	4	40	10	left	left	1	20	15.408	1298
1	40	591.2201100323667	4	40	10	right	right	1	19	15.781	1204
2	1	1182.8590331082055	4	40	10	right	right	1	55	15.24	3609
2	2	370.054819748741	4	40	10	left	left	1	20	15.267	1310
2	3	657.2557334986425	4	40	10	right	right	1	15	15.512	967
2	4	975.3538332353862	4	40	10	left	left	1	25	15.605	1602
2	5	408.66961885333956	4	40	10	left	right	0	27	15.508	1741
2	6	2163.9969621087266	4	40	10	right	right	1	23	15.232	1510
2	7	847.8923529833596	4	40	10	left	left	1	31	15.256	2032
2	8	386.1291082981445	4	40	10	right	right	1	25	15.461	1617
2	9	1188.2036972679803	4	40	10	right	right	1	28	15.326	1827
2	10	365.2156897282564	4	40	10	right	right	1	42	15.328	2740
2	11	630.4704038280079	4	40	10	left	left	1	19	15.447	1230
2	12	407.2515751459622	4	40	10	left	right	0	35	15.385	2275
2	13	1900.580614554235	4	40	10	left	left	1	42	15.419	2724
2	14	1862.6361703530713	4	40	10	left	left	1	33	15.278	2160
2	15	438.9410142505368	4	40	10	left	left	1	23	15.282	1505
2	16	1459.2556239467117	4	40	10	left	right	0	78	15.3	5098
2	17	773.384529911601	4	40	10	right	right	1	34	15.253	2229
2	18	910.1189915867433	4	40	10	right	left	0	37	15.251	2426
2	19	548.5425353488628	4	40	10	right	right	1	59	15.281	3861
2	20	292.4586172603049	4	40	10	right	right	1	47	15.349	3062
2	21	1608.8135296178093	4	40	10	right	left	0	39	15.476	2520
2	22	248.74263078897897	4	40	10	right	right	1	19	15.298	1242
2	23	534.4819377022395	4	40	10	right	right	1	59	15.214	3878
