
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	769.8617452131323	4	40	10	left	left	1	11	16.105	683
1	2	1168.0469596723476	4	40	10	right	right	1	10	16.667	600
1	3	3286.0880783051366	4	40	10	left	left	1	9	15.437	583
1	4	1841.5610130084958	4	40	10	right	right	1	10	16.447	608
1	5	418.7705975117579	4	40	10	right	left	0	12	15.979	751
1	6	1191.241143425299	4	40	10	right	right	1	12	15.831	758
1	7	1077.1276966853725	4	40	10	left	left	1	9	15.437	583
1	8	980.1028239845585	4	40	10	left	left	1	8	16.36	489
1	9	1272.9566991073127	4	40	10	right	right	1	9	15.845	568
1	10	374.3656499161028	4	40	10	right	right	1	10	15.337	652
1	11	872.4365654373021	4	40	10	left	left	1	7	16.018	437
1	12	1365.3750991212796	4	40	10	right	right	1	10	16.026	624
1	13	1037.6851598871228	4	40	10	left	left	1	8	17.241	464
1	14	849.0550855948406	4	40	10	right	right	1	8	16.529	484
1	15	341.5052055209933	4	40	10	left	left	1	10	16.584	603
1	16	213.26152045595325	4	40	10	left	right	0	10	16.207	617
1	17	925.3478294718475	4	40	10	right	right	1	8	15.152	528
1	18	714.6487371485401	4	40	10	left	left	1	9	15.228	591
1	19	381.9754374484883	4	40	10	left	left	1	10	16.474	607
1	20	2434.520312169622	4	40	10	right	right	1	12	16.194	741
1	21	2034.1391766459863	4	40	10	right	right	1	9	15.491	581
1	22	1399.3379723067162	4	40	10	left	right	0	14	15.819	885
1	23	408.3955976201445	4	40	10	right	right	1	11	16.541	665
1	24	785.2986441413053	4	40	10	right	right	1	9	15.929	565
1	25	304.69829225452554	4	40	10	left	left	1	10	15.748	635
1	26	1517.8744076848286	4	40	10	left	left	1	12	15.645	767
1	27	741.3944323681825	4	40	10	left	right	0	8	15.686	510
1	28	798.2763449950177	4	40	10	right	right	1	12	15.228	788
1	29	950.6166983536342	4	40	10	left	left	1	11	16.32	674
1	30	1308.5626340046376	4	40	10	right	right	1	12	15.385	780
1	31	1090.8815282618812	4	40	10	right	right	1	8	16.36	489
1	32	1281.0795554341362	4	40	10	right	right	1	9	16.304	552
1	33	658.1163396701314	4	40	10	left	left	1	8	15.504	516
1	34	1158.0721240376492	4	40	10	left	left	1	9	15.957	564
1	35	603.3569466012473	4	40	10	left	left	1	9	15.734	572
1	36	200.1341004041036	4	40	10	right	right	1	8	15.748	508
1	37	964.1985510521622	4	40	10	right	right	1	10	16.393	610
1	38	375.4037276308652	4	40	10	right	right	1	9	17.045	528
1	39	1939.4767392427648	4	40	10	left	left	1	15	15.974	939
1	40	1514.8171566950357	4	40	10	left	left	1	8	16.598	482
2	1	1332.3762898241137	4	40	10	left	right	0	8	15.564	514
2	2	877.2181078914452	4	40	10	left	left	1	12	16.064	747
