
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	1136.564019139731	4	40	10	left	left	1	465	15.163	30666
1	2	289.5694281077134	4	40	10	left	left	1	14	15.168	923
1	3	1730.4070730488709	4	40	10	right	right	1	67	15.193	4410
1	4	1469.8409901832554	4	40	10	right	right	1	21	15.766	1332
1	5	2429.8193243626843	4	40	10	left	left	1	21	15.441	1360
1	6	613.3489065845356	4	40	10	left	left	1	12	15.228	788
1	7	535.5704733725078	4	40	10	left	left	1	13	15.873	819
1	8	3171.0718928923534	4	40	10	right	right	1	11	15.988	688
1	9	1523.4445947424842	4	40	10	right	right	1	12	15.171	791
1	10	1596.650320108609	4	40	10	right	right	1	10	15.974	626
1	11	452.2456176627185	4	40	10	right	right	1	25	15.319	1632
1	12	1205.851440942774	4	40	10	right	right	1	18	15.464	1164
1	13	1410.6376624700838	4	40	10	right	right	1	11	15.559	707
1	14	2174.898768981793	4	40	10	right	right	1	22	15.526	1417
1	15	251.80085518388952	4	40	10	right	right	1	16	16.097	994
1	16	957.1846751648229	4	40	10	left	left	1	23	15.646	1470
1	17	976.1146184558502	4	40	10	right	right	1	14	15.855	883
1	18	392.03355288981993	4	40	10	right	right	1	9	16.1	559
1	19	552.6325182592807	4	40	10	left	right	0	12	15.345	782
1	20	3465.730583198367	4	40	10	left	left	1	11	15.942	690
1	21	1054.2426943907724	4	40	10	right	right	1	12	15.707	764
1	22	438.65506546561414	4	40	10	right	right	1	14	16.055	872
1	23	660.9904497217838	4	40	10	right	right	1	10	15.152	660
1	24	1253.8929124465226	4	40	10	left	left	1	11	15.559	707
1	25	645.2715580659315	4	40	10	left	left	1	11	15.385	715
1	26	775.9327652322324	4	40	10	left	left	1	11	16.467	668
1	27	390.0759083626119	4	40	10	left	left	1	9	16.729	538
1	28	711.8806127110097	4	40	10	left	left	1	11	16.058	685
1	29	391.6579693302488	4	40	10	right	right	1	15	15.609	961
1	30	633.2869876755798	4	40	10	left	left	1	12	15.957	752
1	31	461.1014768275775	4	40	10	left	left	1	19	15.273	1244
1	32	211.70224819898104	4	40	10	left	left	1	14	16.185	865
1	33	1223.3414971141483	4	40	10	right	right	1	12	15.605	769
1	34	364.88268454072704	4	40	10	left	left	1	33	15.566	2120
1	35	1284.9169783628554	4	40	10	right	right	1	14	15.982	876
1	36	316.1539974283435	4	40	10	left	left	1	42	15.228	2758
1	37	725.2744217294902	4	40	10	right	right	1	19	15.742	1207
1	38	354.069919011828	4	40	10	right	right	1	11	15.559	707
1	39	752.6729824682782	4	40	10	left	left	1	11	16.176	680
1	40	932.9157964377246	4	40	10	left	left	1	15	15.756	952
2	1	1467.751333218811	4	40	10	left	left	1	17	15.977	1064
2	2	944.1605961903042	4	40	10	right	right	1	17	15.741	1080
2	3	279.6038165461092	4	40	10	left	right	0	11	16.393	671
2	4	1614.2450723393083	4	40	10	right	right	1	12	16.438	730
2	5	1141.168389272519	4	40	10	left	left	1	10	15.456	647
2	6	702.7769752168317	4	40	10	left	left	1	13	15.834	821
2	7	747.4384702471538	4	40	10	left	left	1	10	16.313	613
2	8	349.15671984237883	4	40	10	left	left	1	22	15.504	1419
2	9	306.7957810499006	4	40	10	right	right	1	16	15.764	1015
2	10	972.8656119242626	4	40	10	left	right	0	22	15.482	1421
2	11	349.4117182549626	4	40	10	right	right	1	10	15.504	645
2	12	342.53459417281465	4	40	10	right	right	1	12	15.404	779
2	13	203.64402601965068	4	40	10	right	right	1	12	15.424	778
2	14	329.10948964393157	4	40	10	right	right	1	10	15.798	633
2	15	730.5353411470468	4	40	10	left	left	1	11	16.492	667
2	16	267.07169798781155	4	40	10	left	left	1	14	15.573	899
2	17	706.8677421946835	4	40	10	right	right	1	17	15.084	1127
2	18	510.15640012068974	4	40	10	right	right	1	12	15.326	783
2	19	802.9625759342238	4	40	10	left	left	1	11	15.449	712
2	20	1434.7297843607307	4	40	10	right	right	1	11	15.603	705
2	21	1233.6099710165977	4	40	10	left	left	1	10	15.361	651
2	22	572.1583440770127	4	40	10	left	left	1	16	15.64	1023
2	23	1352.6662839041824	4	40	10	right	right	1	12	15.326	783
2	24	3003.0108817780574	4	40	10	left	left	1	12	15.707	764
2	25	1379.2401420612737	4	40	10	right	right	1	9	15.228	591
2	26	702.7475008604821	4	40	10	right	right	1	12	16.393	732
2	27	366.20750519033095	4	40	10	right	right	1	11	16.442	669
2	28	249.40819912492276	4	40	10	left	left	1	11	16.272	676
2	29	1742.172834725394	4	40	10	left	left	1	11	16.105	683
2	30	302.468379283015	4	40	10	right	right	1	13	15.348	847
2	31	210.49729936920278	4	40	10	left	left	1	12	16.107	745
2	32	872.9307035603501	4	40	10	left	left	1	13	15.815	822
2	33	1760.8822812444794	4	40	10	left	left	1	141	15.251	9245
2	34	764.690688340276	4	40	10	right	right	1	48	15.326	3132
2	35	350.3617441242549	4	40	10	left	left	1	54	15.284	3533
2	36	723.4493695704144	4	40	10	right	right	1	45	15.28	2945
2	37	479.18396578424813	4	40	10	right	left	0	100	15.298	6537
2	38	2227.2561242530655	4	40	10	right	right	1	81	15.318	5288
2	39	209.14903414887232	4	40	10	left	right	0	27	15.446	1748
2	40	431.3791435869338	4	40	10	right	left	0	7	16.129	434
3	1	336.9423895479878	4	40	10	left	left	1	148	15.197	9739
3	2	2454.8528888323353	4	40	10	right	left	0	5	17.73	282
3	3	481.92558216288165	4	40	10	left	right	0	9	15.152	594
3	4	210.33671901276279	4	40	10	right	right	1	29	15.152	1914
3	5	1940.8651270909809	4	40	10	left	left	1	6	17.442	344
3	6	545.5193922669631	4	40	10	left	right	0	10	15.723	636
3	7	2235.7332938226828	4	40	10	right	left	0	70	15.267	4585
3	8	1096.0043374016966	4	40	10	right	right	1	116	15.259	7602
3	9	1393.6185429177456	4	40	10	left	left	1	33	15.537	2124
3	10	306.0067007765251	4	40	10	left	left	1	24	15.504	1548
3	11	243.0041257506134	4	40	10	right	right	1	46	15.374	2992
3	12	1273.2636402958456	4	40	10	right	right	1	33	15.25	2164
3	13	471.6854374598619	4	40	10	right	right	1	22	15.482	1421
3	14	904.2544090560995	4	40	10	right	right	1	25	15.605	1602
3	15	277.40599533642785	4	40	10	left	left	1	21	15.567	1349
3	16	4505.209804685783	4	40	10	right	right	1	35	15.569	2248
3	17	1891.0241910621546	4	40	10	left	right	0	28	15.267	1834
3	18	759.2101476013598	4	40	10	right	right	1	44	15.331	2870
3	19	1853.368619327273	4	40	10	left	left	1	12	15.957	752
3	20	395.19307307075667	4	40	10	left	left	1	11	15.581	706
3	21	2154.8202516864894	4	40	10	left	left	1	12	16.064	747
3	22	2238.265855193761	4	40	10	left	left	1	13	16.23	801
3	23	444.97142567812955	4	40	10	left	left	1	10	15.432	648
3	24	265.32551588836964	4	40	10	right	right	1	11	16.369	672
3	25	1982.2240177781748	4	40	10	right	right	1	15	15.873	945
3	26	556.1313637801413	4	40	10	left	left	1	9	16.453	547
3	27	704.0097546330932	4	40	10	left	left	1	12	15.404	779
3	28	1028.5056304715724	4	40	10	right	right	1	11	16.058	685
3	29	741.3643936518301	4	40	10	right	right	1	11	16.272	676
3	30	402.6254230972547	4	40	10	right	right	1	48	15.35	3127
3	31	294.3899144045582	4	40	10	left	left	1	8	15.686	510
3	32	1935.3042016594795	4	40	10	left	left	1	14	15.982	876
3	33	329.6730147046723	4	40	10	right	right	1	29	15.159	1913
3	34	429.7965454145333	4	40	10	right	right	1	15	15.723	954
3	35	306.669600373416	4	40	10	right	right	1	8	15.152	528
3	36	776.4651165412338	4	40	10	right	right	1	19	15.152	1254
3	37	494.1691102423413	4	40	10	left	left	1	10	16.529	605
3	38	1184.6951466335809	4	40	10	right	right	1	11	16.369	672
3	39	258.25090809478723	4	40	10	left	left	1	10	16.077	622
3	40	2171.1719210680453	4	40	10	left	right	0	10	15.221	657
4	1	1164.7536111847437	4	40	10	right	right	1	10	16.103	621
4	2	286.3760329544598	4	40	10	right	right	1	10	15.898	629
4	3	326.8335843280382	4	40	10	left	left	1	21	15.579	1348
4	4	497.7201750477734	4	40	10	right	right	1	13	16.291	798
4	5	854.9120591717972	4	40	10	right	right	1	13	16.01	812
4	6	490.29796515460555	4	40	10	right	left	0	10	15.649	639
4	7	1442.071039690453	4	40	10	right	right	1	9	15.652	575
4	8	1338.226761460263	4	40	10	right	right	1	18	15.915	1131
4	9	509.87011585305424	4	40	10	right	right	1	23	15.364	1497
4	10	1199.0474950049008	4	40	10	left	left	1	25	15.244	1640
4	11	657.3995798321348	4	40	10	right	right	1	28	15.616	1793
4	12	785.5908670872063	4	40	10	right	right	1	28	15.184	1844
4	13	1374.4032985818849	4	40	10	right	right	1	18	15.241	1181
4	14	368.9451376815738	4	40	10	left	left	1	10	15.267	655
4	15	2743.962029295748	4	40	10	left	left	1	16	15.625	1024
4	16	554.7012734572784	4	40	10	right	right	1	34	15.158	2243
4	17	277.3383360711548	4	40	10	left	left	1	39	15.427	2528
4	18	2674.607358532232	4	40	10	right	right	1	15	15.544	965
4	19	929.7006750473556	4	40	10	left	left	1	14	15.301	915
4	20	628.5140964818092	4	40	10	left	left	1	12	15.979	751
4	21	666.9703446933952	4	40	10	left	left	1	17	15.726	1081
4	22	532.1792906848566	4	40	10	left	left	1	82	15.23	5384
4	23	930.0377637465238	4	40	10	left	left	1	25	15.423	1621
4	24	400.94049970937965	4	40	10	left	left	1	17	15.554	1093
4	25	1092.1360767007961	4	40	10	right	right	1	13	16.01	812
4	26	768.5673517120335	4	40	10	left	left	1	25	15.557	1607
4	27	859.5573481087972	4	40	10	right	right	1	28	15.427	1815
4	28	747.3268481284065	4	40	10	left	left	1	23	15.625	1472
4	29	686.55733467609	4	40	10	right	right	1	11	16.153	681
4	30	1059.128346718206	4	40	10	right	right	1	16	15.61	1025
4	31	398.8029850025935	4	40	10	left	left	1	9	15.332	587
4	32	378.7510633169971	4	40	10	left	left	1	11	15.559	707
4	33	825.0576694327145	4	40	10	left	left	1	11	15.385	715
4	34	1005.8876341414343	4	40	10	right	right	1	11	15.896	692
4	35	216.67495116009775	4	40	10	right	right	1	11	15.068	730
4	36	556.9724753661808	4	40	10	left	left	1	10	16.207	617
4	37	1598.44737154867	4	40	10	left	left	1	13	15.892	818
4	38	800.349460709515	4	40	10	right	right	1	12	15.666	766
4	39	1153.4331823674606	4	40	10	left	left	1	10	15.504	645
4	40	991.0485812636075	4	40	10	left	left	1	10	16.611	602
