
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	1025.659125375012	4	40	10	left	left	1	21	15.602	1346
1	2	674.7351911514907	4	40	10	left	right	0	16	15.414	1038
1	3	582.0298813636384	4	40	10	left	left	1	10	15.974	626
1	4	1355.422081545032	4	40	10	right	left	0	29	15.088	1922
1	5	357.4445410312293	4	40	10	right	left	0	31	15.005	2066
1	6	335.4661314264457	4	40	10	right	right	1	15	15.06	996
1	7	434.52478343410587	4	40	10	right	left	0	17	15.018	1132
1	8	1045.321542809173	4	40	10	right	right	1	8	15.968	501
1	9	1162.7722467768276	4	40	10	right	right	1	29	15.255	1901
1	10	567.1626516573401	4	40	10	left	right	0	7	16.018	437
1	11	253.49593950181568	4	40	10	left	left	1	26	15.321	1697
1	12	2980.465102559752	4	40	10	right	right	1	20	15.015	1332
1	13	388.33662107232	4	40	10	right	right	1	11	15.805	696
1	14	1093.705476222126	4	40	10	right	right	1	7	15.909	440
1	15	1618.0969731667276	4	40	10	left	right	0	12	14.925	804
1	16	246.72399169521321	4	40	10	left	left	1	13	15.294	850
1	17	632.1310026959889	4	40	10	right	left	0	24	15.444	1554
1	18	898.9565843659121	4	40	10	right	right	1	7	15.351	456
1	19	542.2052305036771	4	40	10	right	left	0	33	15.264	2162
1	20	234.8365710159664	4	40	10	left	right	0	10	14.948	669
1	21	2449.409528654176	4	40	10	left	left	1	10	15.408	649
1	22	1273.1519806518504	4	40	10	right	left	0	9	15.358	586
1	23	1261.898230477523	4	40	10	left	left	1	31	15.034	2062
1	24	401.2926031520343	4	40	10	left	left	1	15	15.576	963
1	25	1130.237978725418	4	40	10	left	left	1	15	15.69	956
1	26	891.0817365733205	4	40	10	right	right	1	16	15.474	1034
1	27	1120.3223103310015	4	40	10	right	left	0	15	15	1000
1	28	483.4900815167593	4	40	10	right	right	1	9	15.228	591
1	29	550.9148855191249	4	40	10	left	left	1	15	15.806	949
1	30	429.66670431327873	4	40	10	left	right	0	10	16.129	620
1	31	1084.097765495849	4	40	10	right	left	0	14	15.368	911
1	32	1648.1279914652323	4	40	10	left	right	0	16	14.981	1068
1	33	1970.2042354643413	4	40	10	left	right	0	25	15.413	1622
1	34	937.5796674964657	4	40	10	right	left	0	10	15.848	631
1	35	475.1340945526031	4	40	10	left	left	1	10	15.823	632
1	36	1014.4952675278483	4	40	10	left	left	1	11	15.737	699
