
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	656.8563401459278	4	40	10	right	right	1	73	15.148	4819
1	2	276.04930242461126	4	40	10	right	right	1	75	15.331	4892
1	3	213.0494330347428	4	40	10	right	right	1	42	15.475	2714
1	4	954.4902338863834	4	40	10	left	left	1	48	15.434	3110
1	5	703.1456963797639	4	40	10	left	left	1	22	15.439	1425
1	6	503.05107764483245	4	40	10	right	right	1	15	15.244	984
1	7	503.49477142737226	4	40	10	right	right	1	36	15.578	2311
1	8	241.9234307144815	4	40	10	left	left	1	17	15.625	1088
1	9	1967.4851752162397	4	40	10	left	left	1	60	15.369	3904
1	10	813.605670644974	4	40	10	right	right	1	28	15.326	1827
1	11	429.6363108659957	4	40	10	right	right	1	38	15.31	2482
1	12	383.35934350773937	4	40	10	right	right	1	44	15.193	2896
1	13	3258.8895976025824	4	40	10	left	right	0	87	15.303	5685
1	14	699.3685056438378	4	40	10	left	left	1	23	15.646	1470
1	15	468.67332701849966	4	40	10	right	right	1	50	15.193	3291
1	16	446.3345987090532	4	40	10	right	right	1	31	15.248	2033
1	17	980.7725534474255	4	40	10	right	right	1	43	15.385	2795
1	18	2528.273213402734	4	40	10	right	right	1	31	15.256	2032
1	19	1082.8404192509497	4	40	10	left	left	1	24	15.404	1558
1	20	970.3696483793645	4	40	10	right	right	1	54	15.181	3557
1	21	443.16983349159773	4	40	10	right	right	1	42	15.323	2741
1	22	621.2685102780079	4	40	10	left	left	1	21	15.239	1378
1	23	1298.0025686080105	4	40	10	right	right	1	26	15.357	1693
1	24	1157.9701825479924	4	40	10	right	right	1	29	15.271	1899
1	25	399.2633278832447	4	40	10	left	left	1	48	15.224	3153
1	26	967.3644961413929	4	40	10	left	left	1	35	15.453	2265
1	27	539.3014363954828	4	40	10	left	left	1	67	15.374	4358
1	28	472.88953426397126	4	40	10	left	left	1	18	15.957	1128
1	29	682.6090158023667	4	40	10	left	left	1	32	15.437	2073
1	30	832.9656278278871	4	40	10	left	left	1	37	15.226	2430
1	31	253.1491921885871	4	40	10	left	left	1	21	15.407	1363
1	32	1621.1755891646244	4	40	10	left	left	1	16	15.195	1053
1	33	626.4026810187008	4	40	10	left	left	1	42	15.273	2750
1	34	801.0462501042916	4	40	10	left	left	1	28	15.226	1839
1	35	267.08270956710555	4	40	10	left	left	1	35	15.371	2277
1	36	654.2393869680087	4	40	10	left	left	1	77	15.223	5058
1	37	629.0874240192848	4	40	10	right	right	1	45	15.228	2955
1	38	717.0704226755688	4	40	10	right	right	1	29	15.591	1860
1	39	2147.2290339593537	4	40	10	right	right	1	45	15.464	2910
1	40	1148.27820244657	4	40	10	right	right	1	131	15.268	8580
2	1	341.11267663595004	4	40	10	right	right	1	66	15.221	4336
2	2	371.3099948688704	4	40	10	right	right	1	16	15.905	1006
2	3	907.3281472390006	4	40	10	left	left	1	13	15.24	853
2	4	657.4984046114405	4	40	10	right	right	1	19	15.833	1200
2	5	1537.3706910215824	4	40	10	right	right	1	15	15.907	943
2	6	524.7072655877683	4	40	10	right	right	1	65	15.374	4228
2	7	341.5416209356153	4	40	10	left	left	1	48	15.171	3164
2	8	2418.0516087900046	4	40	10	left	left	1	28	15.359	1823
2	9	851.5229458487674	4	40	10	left	left	1	16	15.686	1020
2	10	321.85952721960354	4	40	10	right	right	1	38	15.329	2479
2	11	1623.413438333938	4	40	10	left	left	1	17	15.483	1098
2	12	640.6579246976914	4	40	10	right	right	1	22	15.46	1423
2	13	398.5591605116985	4	40	10	right	right	1	41	15.247	2689
2	14	1449.4681129775302	4	40	10	left	left	1	29	15.175	1911
