
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	1443.0232890472753	4	40	10	left	left	1	260	15.157	17154
1	2	623.4580892137906	4	40	10	left	left	1	147	15.238	9647
1	3	1365.5301571101645	4	40	10	right	right	1	58	15.287	3794
1	4	479.9259250166791	4	40	10	left	left	1	68	15.291	4447
1	5	542.249927246041	4	40	10	left	right	0	52	15.147	3433
1	6	967.7233804402254	4	40	10	left	right	0	28	15.176	1845
1	7	368.76553012731256	4	40	10	left	left	1	20	15.361	1302
1	8	263.86435850926097	4	40	10	right	right	1	32	15.587	2053
1	9	479.84704923496787	4	40	10	right	right	1	75	15.213	4930
1	10	444.35772603739315	4	40	10	right	right	1	67	15.186	4412
1	11	916.5562408718904	4	40	10	right	right	1	29	15.207	1907
1	12	622.8247098531517	4	40	10	left	left	1	28	15.226	1839
1	13	655.8404125565619	4	40	10	left	left	1	46	15.318	3003
1	14	902.3054108657938	4	40	10	right	left	0	85	15.249	5574
1	15	929.680999068673	4	40	10	right	left	0	60	15.171	3955
1	16	328.75777097734556	4	40	10	right	left	0	73	15.262	4783
1	17	1216.7284076426292	4	40	10	left	right	0	78	15.157	5146
1	18	310.5156560196409	4	40	10	right	left	0	4	19.139	209
1	19	272.6003831073178	4	40	10	right	right	1	3	16.484	182
1	20	451.5143804354048	4	40	10	left	right	0	21	15.533	1352
1	21	1101.3128508833438	4	40	10	left	left	1	7	15.487	452
1	22	1672.5770797143189	4	40	10	right	right	1	17	15.343	1108
1	23	824.3855419047934	4	40	10	right	right	1	6	17.094	351
1	24	3228.2534475664625	4	40	10	left	left	1	11	16.012	687
1	25	1741.6908235057372	4	40	10	right	right	1	12	15.979	751
1	26	429.98330500436145	4	40	10	right	left	0	5	17.361	288
1	27	374.7246758322135	4	40	10	right	right	1	6	15.424	389
1	28	1245.4567760150362	4	40	10	left	right	0	5	15.198	329
1	29	360.58768566676866	4	40	10	left	left	1	11	15.471	711
1	30	258.85488777829767	4	40	10	right	right	1	19	15.599	1218
1	31	735.0327078220785	4	40	10	right	left	0	13	16.069	809
1	32	208.2927661549425	4	40	10	right	right	1	17	15.385	1105
1	33	344.49091381438643	4	40	10	right	right	1	15	15.593	962
1	34	2100.1237487384515	4	40	10	left	left	1	20	15.492	1291
1	35	801.3257140867304	4	40	10	left	left	1	25	15.442	1619
