
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	415.0359843675311	4	40	10	right	right	1	83	15.328	5415
1	2	675.0397582941333	4	40	10	left	left	1	23	15.797	1456
1	3	362.6223437535532	4	40	10	left	right	0	40	15.45	2589
1	4	881.0217806474126	4	40	10	right	right	1	51	15.292	3335
1	5	1148.7877753186358	4	40	10	right	left	0	31	15.144	2047
1	6	4192.62033758127	4	40	10	right	right	1	80	15.296	5230
1	7	1668.1891016694983	4	40	10	right	right	1	82	15.27	5370
1	8	1175.2439639460486	4	40	10	left	left	1	40	15.308	2613
1	9	224.37212102399306	4	40	10	right	right	1	33	15.457	2135
1	10	1122.0843237062213	4	40	10	right	right	1	37	15.302	2418
1	11	494.31517705605347	4	40	10	left	left	1	53	15.291	3466
1	12	258.65517106944225	4	40	10	left	left	1	61	15.304	3986
1	13	1365.1040863230562	4	40	10	left	left	1	53	15.269	3471
1	14	876.1578872986297	4	40	10	right	right	1	43	15.484	2777
1	15	230.0728457577763	4	40	10	right	right	1	27	15.455	1747
1	16	1010.9861187536735	4	40	10	right	left	0	35	15.284	2290
1	17	707.3476030753361	4	40	10	right	left	0	51	15.174	3361
1	18	230.31721020037827	4	40	10	left	left	1	80	15.183	5269
1	19	392.8505163030552	4	40	10	left	right	0	42	15.51	2708
1	20	825.4063506856354	4	40	10	right	right	1	50	15.165	3297
1	21	378.2591990979387	4	40	10	left	right	0	76	15.283	4973
1	22	240.67638231740716	4	40	10	right	right	1	73	15.183	4808
1	23	652.5744402107325	4	40	10	left	right	0	39	15.157	2573
1	24	317.9654304301875	4	40	10	right	right	1	99	15.242	6495
1	25	231.90340199952934	4	40	10	right	right	1	58	15.291	3793
1	26	1605.5534404094099	4	40	10	left	right	0	64	15.344	4171
1	27	474.10722088575085	4	40	10	left	left	1	117	15.272	7661
1	28	661.2581553752483	4	40	10	right	left	0	36	15.471	2327
1	29	984.6851954140296	4	40	10	right	right	1	49	15.236	3216
1	30	355.44163631833965	4	40	10	left	left	1	64	15.322	4177
1	31	781.0092449792096	4	40	10	left	right	0	50	15.277	3273
1	32	695.233030252614	4	40	10	left	left	1	57	15.351	3713
1	33	240.05171022680435	4	40	10	left	left	1	70	15.271	4584
1	34	496.13563790405857	4	40	10	left	right	0	42	15.306	2744
1	35	884.7560800076673	4	40	10	left	right	0	34	15.546	2187
1	36	367.1683833923909	4	40	10	right	right	1	54	15.42	3502
1	37	723.2965134844336	4	40	10	right	left	0	68	15.192	4476
1	38	285.85869877077516	4	40	10	left	right	0	41	15.185	2700
1	39	914.7000073339583	4	40	10	right	left	0	95	15.212	6245
1	40	954.8926645237841	4	40	10	left	left	1	91	15.276	5957
2	1	1865.4426006952674	4	40	10	left	right	0	37	15.442	2396
2	2	3111.8451601498195	4	40	10	left	left	1	48	15.444	3108
2	3	923.0061298607989	4	40	10	right	left	0	52	15.38	3381
2	4	358.46514352685426	4	40	10	left	left	1	84	15.276	5499
2	5	248.55018966438777	4	40	10	left	left	1	52	15.209	3419
2	6	455.63253518975904	4	40	10	right	right	1	62	15.163	4089
2	7	2311.359287602618	4	40	10	right	left	0	36	15.228	2364
2	8	550.6078003856387	4	40	10	left	right	0	146	15.152	9636
2	9	1581.67850594523	4	40	10	right	left	0	60	15.221	3942
2	10	285.7360091933907	4	40	10	left	right	0	102	15.21	6706
2	11	792.6435556590698	4	40	10	right	right	1	94	15.191	6188
2	12	1530.4400764821394	4	40	10	right	left	0	87	15.218	5717
2	13	439.63843660201434	4	40	10	right	right	1	100	15.284	6543
2	14	701.7374572464166	4	40	10	right	right	1	37	15.251	2426
2	15	615.1582437227664	4	40	10	left	right	0	84	15.27	5501
2	16	1796.2385925598678	4	40	10	right	left	0	41	15.23	2692
2	17	497.471343301	4	40	10	right	left	0	106	15.252	6950
2	18	692.2351839216493	4	40	10	left	right	0	53	15.178	3492
2	19	1917.2411869227165	4	40	10	left	left	1	48	15.253	3147
2	20	1748.1514115132127	4	40	10	left	left	1	98	15.248	6427
2	21	267.10793393837247	4	40	10	left	left	1	86	15.157	5674
2	22	420.3904830176713	4	40	10	left	right	0	110	15.252	7212
2	23	1361.0939143837338	4	40	10	left	right	0	71	15.161	4683
2	24	370.229865125827	4	40	10	right	right	1	44	15.214	2892
2	25	1002.9165978894152	4	40	10	right	right	1	46	15.212	3024
2	26	1694.13805453525	4	40	10	left	right	0	54	15.319	3525
2	27	1725.407331868969	4	40	10	right	left	0	23	15.689	1466
2	28	2415.540988999603	4	40	10	left	right	0	83	15.311	5421
2	29	659.4042621524854	4	40	10	left	left	1	64	15.22	4205
2	30	2199.808332720991	4	40	10	right	left	0	117	15.224	7685
2	31	1356.2770143696025	4	40	10	right	left	0	30	15.244	1968
2	32	347.0288876191539	4	40	10	left	left	1	61	15.261	3997
2	33	450.004932342377	4	40	10	right	left	0	51	15.408	3310
2	34	212.16268959101765	4	40	10	left	left	1	53	15.331	3457
2	35	920.4623155748037	4	40	10	left	left	1	53	15.256	3474
2	36	535.4357794384881	4	40	10	left	right	0	29	15.303	1895
2	37	1808.2159498618187	4	40	10	right	left	0	61	15.204	4012
2	38	626.5105354394204	4	40	10	right	right	1	41	15.304	2679
2	39	292.95602060482867	4	40	10	right	right	1	45	15.385	2925
2	40	253.16839275483937	4	40	10	right	left	0	17	15.873	1071
3	1	1553.3884976351662	4	40	10	right	left	0	36	15.564	2313
3	2	883.6508023168179	4	40	10	left	right	0	17	15.933	1067
3	3	221.60960580652912	4	40	10	right	left	0	81	15.18	5336
3	4	1419.4825843843382	4	40	10	right	left	0	39	15.276	2553
3	5	2518.2753989920466	4	40	10	left	right	0	58	15.255	3802
3	6	489.2057891642515	4	40	10	right	right	1	43	15.189	2831
3	7	4225.959119442923	4	40	10	right	left	0	89	15.313	5812
3	8	1317.785949040405	4	40	10	right	left	0	58	15.207	3814
3	9	239.31482526598583	4	40	10	right	left	0	65	15.291	4251
3	10	1774.6020760344588	4	40	10	left	right	0	55	15.193	3620
3	11	759.4464427826691	4	40	10	left	left	1	28	15.342	1825
3	12	508.5159007746468	4	40	10	right	left	0	45	15.453	2912
3	13	667.4151461158403	4	40	10	left	right	0	133	15.16	8773
3	14	546.3419123350219	4	40	10	left	left	1	43	15.157	2837
3	15	556.6432376649104	4	40	10	left	left	1	34	15.448	2201
3	16	1131.4279838329862	4	40	10	right	right	1	46	15.287	3009
3	17	533.045602421327	4	40	10	right	left	0	66	15.207	4340
3	18	246.07561906645483	4	40	10	left	left	1	82	15.25	5377
3	19	852.9978399005882	4	40	10	left	right	0	19	15.926	1193
3	20	1645.2161286331213	4	40	10	right	left	0	52	15.385	3380
3	21	1676.859444222892	4	40	10	left	left	1	54	15.341	3520
3	22	422.938278498193	4	40	10	right	left	0	71	15.318	4635
3	23	1680.6409263346477	4	40	10	right	right	1	52	15.24	3412
3	24	745.7022613802403	4	40	10	right	left	0	100	15.263	6552
3	25	268.4492607098546	4	40	10	right	left	0	67	15.155	4421
3	26	253.30210993039003	4	40	10	right	right	1	20	15.373	1301
3	27	355.60062984189165	4	40	10	left	right	0	62	15.192	4081
3	28	632.6225646625819	4	40	10	right	left	0	69	15.239	4528
3	29	697.6475918114807	4	40	10	left	right	0	52	15.227	3415
3	30	1076.1237774225463	4	40	10	left	right	0	56	15.402	3636
3	31	1330.972043026972	4	40	10	right	right	1	26	15.504	1677
3	32	522.1693003852408	4	40	10	left	left	1	62	15.207	4077
3	33	849.9953542107037	4	40	10	left	right	0	29	15.231	1904
3	34	842.3129443196952	4	40	10	left	right	0	44	15.167	2901
3	35	1189.378693928545	4	40	10	left	right	0	26	15.312	1698
3	36	442.57458638519154	4	40	10	right	left	0	40	15.343	2607
3	37	297.60225211994157	4	40	10	left	left	1	67	15.349	4365
3	38	311.8028449754543	4	40	10	left	left	1	35	15.244	2296
3	39	1245.1653007717018	4	40	10	left	left	1	29	15.263	1900
3	40	572.4561232428882	4	40	10	right	right	1	32	15.362	2083
4	1	1090.3022969498152	4	40	10	left	right	0	63	15.314	4114
4	2	259.25017751382836	4	40	10	left	right	0	15	15.48	969
4	3	313.13220379483744	4	40	10	right	right	1	60	15.201	3947
4	4	316.57647162057515	4	40	10	right	left	0	47	15.295	3073
4	5	534.5044944000259	4	40	10	right	right	1	119	15.227	7815
4	6	276.4106796452942	4	40	10	right	right	1	37	15.391	2404
4	7	3973.8975436890296	4	40	10	right	left	0	67	15.22	4402
4	8	297.3853913665491	4	40	10	left	right	0	32	15.173	2109
4	9	467.0036927895196	4	40	10	left	left	1	39	15.336	2543
4	10	1032.1503700543592	4	40	10	right	right	1	55	15.152	3630
4	11	454.63177139940063	4	40	10	left	left	1	60	15.385	3900
4	12	1248.8813125288027	4	40	10	left	left	1	48	15.253	3147
4	13	952.7754485508502	4	40	10	right	left	0	40	15.486	2583
4	14	1366.4599146667022	4	40	10	right	left	0	81	15.223	5321
4	15	264.194368455142	4	40	10	left	right	0	127	15.191	8360
4	16	375.9878153790835	4	40	10	right	right	1	51	15.17	3362
4	17	2294.2121477389096	4	40	10	right	left	0	60	15.228	3940
4	18	1116.2519721844496	4	40	10	right	left	0	79	15.239	5184
4	19	244.36881850766537	4	40	10	left	right	0	89	15.253	5835
4	20	272.3033717733394	4	40	10	left	right	0	53	15.411	3439
4	21	2009.5023227457505	4	40	10	left	right	0	23	15.53	1481
4	22	743.9336627035798	4	40	10	right	left	0	58	15.352	3778
4	23	551.1461008156678	4	40	10	left	left	1	41	15.53	2640
4	24	261.55215552679175	4	40	10	right	right	1	40	15.361	2604
4	25	1387.0459167846082	4	40	10	left	right	0	29	15.516	1869
4	26	928.8386208050488	4	40	10	right	left	0	75	15.219	4928
4	27	949.0872691460685	4	40	10	left	right	0	30	15.609	1922
4	28	960.4710761231404	4	40	10	left	left	1	63	15.217	4140
4	29	487.5417431144008	4	40	10	left	right	0	103	15.289	6737
4	30	2205.47395729024	4	40	10	right	left	0	72	15.248	4722
4	31	2330.691063521682	4	40	10	right	left	0	85	15.249	5574
4	32	382.2533254264865	4	40	10	left	right	0	48	15.414	3114
4	33	1890.0102315626443	4	40	10	left	left	1	45	15.448	2913
4	34	1477.9188731271204	4	40	10	left	right	0	24	15.287	1570
4	35	521.2084240443745	4	40	10	left	right	0	40	15.238	2625
4	36	207.42531369640085	4	40	10	right	left	0	45	15.203	2960
